"题目","朝代","作者","内容"
"咏史十二首 前汉","清末民国初","陈肇兴","自从封建废秦皇，草泽膺图国祚长。一代安危关外戚，几回反侧动诸王。民风近古犹淳厚，大道从兹半渺茫。幸有江都诸辈出，祗今人说汉文章。东京儒雅古来无，拜老临雍礼数殊。稽古几人誇硕傅，横经此日有囚奴。椒房宠尽阉官盛，太学才多国势孤。一事可怜汉明帝，千秋遗患是浮图。群雄芟尽鼎终分，百战河山感慨存。济世有材怜管、乐，生儿无命笑曹、孙。征诛远扫官家局，揖让初开篡窃门。刘禅长年丕、亮促，此中天意总难论。吴、蜀平来魏祚移，乾坤才合又分离。羊车十里宫人泪，蛙鼓数声帝子悲。名士清谈空复尔，诸王搆怨欲何为？伤心一片中原土，付与羌胡竟不支！平阳一去感青衣，太息河山举目非。南渡君臣㫿对泣，东山士女故相依。机云幂下无禽泪，王谢堂前有燕飞。我爱陶公真旷达，黄花开处便来归。五龙如虎斗方酣，胜负兵家已共参。百战河山归代北，六朝金粉艳江南。临轩有例开齐、宋，亡国无端误释、聃。莫道金陵王气尽，隋宫芳草亦毵毵。新林一战破平湖，南北全收入版图。灵感有书成内史，太平无策报吾儒。千金枉自遗杨素，一死方知误独孤。毕竟宇文除莫尽，他年留患在江都。不死何曾有药丸，唐家终始误金丹。河山割裂归方镇，妇寺平分揽大权。占得诗名高万古，传来军制仿三单。祗今七德馀歌舞，想见前皇创业难。频年杀伐战尘嚣，得国如棋劫未消。长乐中书更十主，世家降表历三朝。犹馀岁月遵唐朔，还割河山赂大辽。永弃幽、并州十六，中原终古恨迢遥。一著黄袍竟释戈，宋家杯酒奠山河。培成绝学千秋盛，养就人材两榜多。南渡偏安缘积弱，北边失策在连和。由来礼义维持久，易世犹传正气歌。清宁宫殿傍烟霞，直取穹庐作帝家。别具神威临异域，不教正统擅中华。船通日本千帆远，地拓天南万里赊。肠断年年轻北狩，紫台一去使人嗟。一编祖训笃宗盟，开国鸿谟集大成。谁料室戈操叔父，顿教锻鍊到公卿。交深洛、蜀东林党，祸烈汉、唐北寺兵。赖有殉亡诸气节，至今廉立激苍生。"
"捒中感事","清末民国初","陈肇兴","谕蜀文驰道路开，先声早自夺人来。不锄薤本知宽政，略示蒲鞭见治才。几处儿童迎郭伋，一时宾从尽邹、枚。运筹敢道参帷幄，桑梓情深感事哀。平畴计日绿云黄，监割纷纷诉讼堂。话到桑麻情似水，判成虞芮笔如霜。干戈扰扰传三楚，车马劳劳走四方。我有一言参末议，古来擒贼必擒王。鸡虫得失了何因，扰攘难逃局外身。缩手未能求省事，解悬无力误因人。功名路绝官奴侮，仕宦交疏父老亲。剩有此心堪自信，焚香夜夜告明神。二十年前此寄居，今来犹认旧茅庐。江山信美非吾土，富贵时还读我书。胸有甲兵期自试，手无柯斧欲何如。等閒忽起闻鸡舞，国计民瘼恨有馀。书空咄咄只心知，大雅真难只手持。当局何尝轻竖子，此生原不合时宜。农桑课俗都成画，风雨怀人祗赋诗。珍重宰官推毂意，诸君何术起疮痍！乾坤莽莽又今朝，忧愤填胸郁不消。杀运未终天道渺，生机才转吏人骄。祗闻攘臂争金帛，可有惊心到斗刁。坐拥貔貅空束手，连营将帅已无聊。休歌口燥与唇乾，来日非难此日难。画地偶成名士饼，普天谁好鲁儒冠。无根毁誉閒中得，有定升沉梦里看。忽听故人谈直北，百年人事感长安。请缨无路扣重阍，报国心情托暮云。筹饷几时劳大吏，徵兵此地拜将军。貂蝉狗尾皆承宠，封豕长蛇竞策勋。却笑腐儒忧社稷，年年辛苦送穷文。不因案牍也劳形，来往朝朝混白丁。一事无成双鬓白，几人相见两眸青。荷花过雨香成海，修竹迎风绿满庭。对此应惭居近市，当年辜负子云亭。历历乡村午梦初，稻花香里度篮舆。有怀竹帛思投笔，无补生灵耻上书。瘴雨千峰迷客路，烽烟万里阻公车。算来祗觉逃名好，日对青山愧有馀。手捧文书暗自惊，非官非吏逐人行。宦场领略科名贱，世事消磨意气平。笑骂由他宜自检，睚眦于我本无争。城狐社鼠多奇拓，谁信冰壶彻底清。呼牛呼马总凭他，抱此冰心欲奈何。南海薏珠悲马援，中原旌旆望廉颇。非关独鹤招群忌，底事飞鸮在泮多？拟作解嘲才力薄，一樽相属且高歌。"
"忆简荣卿孝廉同年","清末民国初","陈肇兴","罗山道上赤嵌东，几度联床雨又风。一枕梦魂唯我共，十年科第与君同。话从小别添离绪，交到中年忆少童。最是关心文字友，裁笺岁岁寄诗筒。买笑千金撤手轻，青楼当日久知名。青樽绿酒春修禊，铁板铜槽夜选声。万事让君先得子，几人因我误怜卿。如今颔下都如戟，老大何堪话旧情。"
"閒居","清末民国初","陈肇兴","呼马呼牛任毁誉，抛残世事自閒居。飞觞月可邀斟酒，举叶风如劝读书。旧业重温知学退，新交渐广觉心虚。年来却悔吟诗少，欲买青山赋遂初。百尺高楼接太荒，开门时对远山苍。断云归岫形千变，圆月入窗影四方。古砚墨留铜雀瓦，熏炉火热宝猊香。幽居不少娱心处，一卷唐诗味已长。暑气全收木叶乾，可人天气爱新寒。攻愁酒每灯前饮，引睡书多枕上看。地隔中原无雁过，天高沧海有雕盘。玻璃四面围吟榻，也抵仙家白玉栏。一镫澹对睡常迟，寂寂西窗有所思。小饮最宜冬至日，苦吟偏爱夜长时。梦回纸帐人初倦，春到梅梢蝶不知。却怪寒蛩情似我，连宵唧唧伴吟诗。"
"寄林文翰舍人","清末民国初","陈肇兴","□炮连宵枕上听，可怜豺虎尚奇零。一身作客如张俭，四海为家类管宁。衔石有心悲怨羽，负山无力泣秋螟。思量欲献平戎策，独立檐前看将星。同病相怜鬓欲华，战场回首骨如麻。心羞秦帝思投海，义激韩仇已破家。萧索山林愁日暮，飘零弟妹感天涯。艰难一样藏身苦，忍泪吞声避虎牙。蔓延贼势正猖披，大厦真非一木支。民不聊生嗟已晚，天如此醉醒何时。投胶莫止黄河浊，破产难求博浪锥。自愧杜陵空痛哭，先鞭望汝快驱驰。"
"忆故居","清末民国初","陈肇兴","黯黯愁云四望遥，故园回首总魂消。张良去国家初破，杜甫游秦盗正骄。万卷图书归浩劫，一年文武毕今朝。可怜呕尽心头血，千首诗都付火烧。迁乔曾为赋閒居，五载经营奉板舆。近市盘餐多异味，承欢菽水有新储。玻瓈牖下安吟榻，锦绣堂前挂报书。四壁祗今何所有，空闻鸟雀噪阶除。小筑吟楼号古香，半储书画半巾箱。山横定寨青排闼，树接丰亭绿过墙。几度栖迟同燕雀，一经离乱又豺狼。帑金掠尽门窗圮，惟有青苔对夕阳。传闻狐鼠据为巢，薪木摧残去又抛。世乱佣奴多背主，途穷邻里乏知交。登楼王粲非吾土，破屋杜陵恋旧茅。自恨不如梁上燕，巡檐犹得到花梢。"
"感事漫兴","清末民国初","陈肇兴","几回叹息复吟呻，积愤填胸泪满巾。患难文章原易古，乱离消息苦难真。干戈草草将周岁，衣食劳劳渐累人。欲献刍荛愁路隔，偷将诗句哭风尘。黄符岁岁下瀛东，万里烽烟信息通。民为徵兵多聚铁，官因省事讳修戎。妖谋诡秘三更里，贼势绵延七载中。为虺弗摧蛇又放，争教海水不流红。莽莽乾坤劫运开，如蛾赴火万人来。腥风十里笳声乱，阴雨千山鬼哭哀。射虏有书空议抚，望洋无援浪惊猜。饱鹰饥虎皆难驭，辜负推恩起将才。处处迎降类犬羊，千秋谁复顾纲常。壶浆白昼供蛇豕，香火深宵拜虎狼。城破犹闻官索米，兵来唯见吏徵粮。纷纷文武遭诛戮，敢信捐躯尽国殇。蕞尔孤城斗六门，几回攻击阵云屯。能防地道官多智，克守弹丸将有恩。烽火仓皇犹筑垒，炊烟寥落不成村。罗山此日萑苻盛，寇退须防盗尚存。一年弹指又秋风，苦斗平原恨未终。杀贼不闻诸将猛，枭渠谁录义民忠。枯髅塞断人烟白，战血销残野火红。寄语东征诸将吏，漫将纸上竞奇功。"
"次韵酬曾汝泉秀才","清末民国初","陈肇兴","斫地谁怜偪仄吟，瑶华远贲翠微岑。遥情似击渐离筑，古调真成叔夜琴。家国抚膺同洒泪，风尘回首几伤心。祗应共抱忧时愤，敲遍铜壶感不禁。岂有才如李谪仙，漫劳纸上赏云烟。穷途得句歌当哭，多难逢君喜欲颠。万里关河飞叶候，千山戎马订交年。谁知铁炮轰鸣处，夜夜谈诗到晓天。海上何人鉴苦衷，空山今日始逢公。干戈路隔千峰外，忧愤情深一纸中。终古浮云迷直北，凭谁只手障瀛东？多惭知己高相许，不朽殷勤劝立功。直捲银河倒地流，如君诗笔已凌洲。敢因科第居先达，合把文章让上头。人为江山思管、乐，我欣萍水识应、刘。蓬门有约呼僮扫，莫学高人径不由。"
"葭月二十六日喜晤石庄，兼话大甲官军捷信","清末民国初","陈肇兴","干戈何处不蜂屯，万劫逃来喜尚存。徒跣我藏木屐岭，全家君走草鞋墩。人皆欲杀生原幸，口不言兵道更尊。意外相逢欢已极，况兼捷信报官军。曾将王命论班彪，舌烂唇焦语未休；无补君亲空痛哭，同为羁旅倍生愁。千秋气节怀龙尾，半世功名愧虎头。拔剑酒酣歌斫地，因君还欲赋同仇。"
"除夕","清末民国初","陈肇兴","伤心烽火路千盘，破屋空山岁又阑。金尽囊空愁日暮，儿啼妻病怯宵寒。依人踪迹难分白，报国心情只寸丹。闻道将军横海出，伏波前月已登坛。涉险攀幽路未通，全家门闭乱山中。因书郁垒知年尽，不送屠苏信道穷。索债幸无敲户客，围炉欣有让梨童。悲欢一夜催人老，不是閒愁酒可攻。中年身世易悲哀，况值干戈满地来。百岁都从今夜过，一杯聊向异乡开。偶听爆竹惊飞炮，忽对椒盘想将才。群盗未平双鬓白，伤心无处问蒿莱。隔邻儿女闹喧哗，故事犹将守岁誇。八口艰难欣有母，一身奔走苦无家。颓唐仆婢惊弓鸟，荏苒光阴赴壑蛇。蜡烛也知家国恨，替人垂泪不开花。"
"元旦","清末民国初","陈肇兴","爆竹声中一岁捐，干戈流恨入新年；自关门户逃宾刺，偷整衣冠拜祖先。故里沐猿堪一笑，空山拾橡又三迁。焚香且把苍生祝，早扫妖氛慰倒悬。瓜田一亩芥花开，几处穰穰斗蝶来。惊鬼拟团羊髓饭，避兵难觅鹊巢灰。桃符尚写春王字，柏酒新浮长命杯。多谢村南诸野叟，肯携藤杖暂相陪。"
"哭董济亭夫子","清末民国初","陈肇兴","丧乱频年祸患并，脱身无计出围城；孔戡抗节还遭谤，龚胜忧时竟舍生。半世刚方空自矢，一时毁誉太无情。奇谋未遂含冤死，地下教谁诉不平。刀头剑首久消磨，平地添来几尺波。死为题名犹得祸，生知守志本无他。豺狼满地音书绝，狐鼠当途议论多。咫尺绛帷成万里，伤心空唱大招歌。"
"祭旗后一日，六保背约，纵匪反噬，燬陷义庄无数，独山顶一带尚守前盟；予一家四散，几遭阖门之祸，在重围中沥血成咏","清末民国初","陈肇兴","群盗连山苦未平，几回痛哭募乡兵。千金散尽供奔走，万劫逃来更死生。请援无人空断指，倒戈有约误同盟。昨朝骨肉今仇敌，如此人心绝可惊。络绎军书日夕驰，风云惨淡捲旌旗。一身报国唯存胆，万口由人任剥皮。焚掠连村生气促，惊呼到处哭声悲。关山举目无相识，欲避豺狼更倚谁！袒臂呼来近万人，谁知一败等灰尘。争功不少熊罴将，悬赏偏求虮虱臣。且喜妻贤能誓死，却缘母在未捐身。潸然独步空山里，无食无眠已浃旬。纷粉怒骂总由他，兄弟三人聚一窠。鸡犬乱鸣疑贼至，虫蛇共处齧身多。孤臣力尽唯拚死，同辈机深转议和。到底未除圭角气，夜深还自赋荆轲。"
"殉难三烈诗 廖秉钧","清末民国初","陈肇兴","仓皇书记孰堪亲，草泽今来刘道民。白首参军刚草檄，青衿报国竟捐身。十年落拓无知己，一死从容绝可人。引颈衔须犹骂贼，胶庠正气未沉沦。独从境外建旌旄，格斗连山血溅袍。张嵊一门都鬼录，缪彤诸弟尽人豪。通夷助我军犹壮，骂贼怜君气不挠。何日归元亲舐舌，愁云望断斗门高。草野何曾计立功，投锄荷芟亦从戎；身经俎醢心弥赤，死别妻孥泪不红。两载乱离忧患里，一家缧绁战争中。伤心八口归何日，鬼啸狨啼恨未穷。"
"孤愤","清末民国初","陈肇兴","学书学剑两无成，投笔今朝为请缨。万苦备尝增忍性，百年多累误虚名。恩仇未报家先破，贫病交侵命已轻。知被下车冯妇笑，短衣缚裤逐人行。纷纷肉食总无谋，议抚招降半不酬。鼙鼓惊心犹昨日，河山转眼又三秋。谈来战伐人皆勇，说到流亡我尚愁。卜式家财逾十万，输将已罄漫徵求。风鹤经时喘未苏，飘零一剑寄长途。年华荏苒髀生肉，戎马消磨颔有须。每过贼营愁吠狗，常随俗忌怕闻乌。海滨耆旧凋残尽，谁向黄公问酒炉？"
"蔡杏垣山水画册","清末民国初","陈肇兴","茅屋依青嶂，柴门掩绿苔。万竿修竹里，日暮一筇来。木落四山空，烟笼一溪碧。时有捕鱼人，维舟在芦荻。古寺藏修竹，滞舟宿蓼花。不知红树里，多少野人家。"
"肚山道中即景","清末民国初","陈肇兴","乐耕门外草如茵，绕岸花开白似银。如此风光真乐土，不须更觅武陵津。过尽山庄与野桥，新秧万顷绿齐腰。南楼几日萧萧雨，又长东郊一尺苗。竹园稻屋自成家，破晓儿童踏水车。万绿丛中红一片，隔篱几树刺桐花。大肚山前大海西，嵚崎道路古来迷。缘堤一带相思树，日为行人送马蹄。"
"哭张郁堂明经","清末民国初","陈肇兴","一封凶耗下台城，六属文人泪尽倾。不敢寝门同一哭，为渠风义在师生。此去蓉城即旧居，三千弟子送灵舆。九原回首应惆怅，婚娶粗完未著书。文字交深礼数宽，登堂每度索诗观。水沙连里他年过，便作黄垆一例看。君家山水武陵津，四季花开满地春。毕竟烟霞多痼疾，桃源也不活秦人。"
"村馆杂兴","清末民国初","陈肇兴","宿雨初晴暑气收，茅斋六月爽于秋。举头忽讶青天转，无数白云如水流。朦胧树色映窗纱，晓日初升薄雾遮。燕子入帘栖不定，双双飞上紫荆花。困人天气剧难量，冷煖无端搅客肠；昨日绤絺今挟纩，调停病体著衣裳。一春苦旱稻田荒，入夏甘霖忽渺茫。养得参差苗暴长，半畦青间半畦黄。"
"题杨妃出浴图","清末民国初","陈肇兴","玉貌花颜金步摇，一番澡洗倍夭娇。起来似不胜罗帔，倚定宫娥整翠翘。一曲霓裳绝代无，春风省识美人图。分明剥出鸡头肉，滑腻如凝塞上酥。环佩珊珊出浴堂，玉莲犹吐瑞龙香。楼东别有梅精在，不赐华清第二汤。凤凰阁下册娉婷，十一年中读道经。旧梦回头成一笑，醉归不怕寿王醒。瑶池月下玉山头，为雨为云几度秋。千载粉香凝渭水，金钱难洗禄儿羞。谢却铅华淡扫眉，风流虢国冠诸姨。不知骑马平明去，也许承恩赐浴池。长生殿里祝他生，万岁千秋有旧盟。料得马嵬重驻跸，丹青魂断丽人行。"
"陈烈妇郑氏挽诗","清末民国初","陈肇兴","当年帝子泣湘灵，锦瑟凄凉不可听。一自英风传海峤，至今班竹有馀青。升天入地路茫茫，指引全凭药一觞。再拜灵前和泪饮，不知人世有琼浆。海誓山盟愿已违，黄泉携手笑同归。他年墓树生连理，定有鸳鸯作对飞。"
"鼓山纪游诗","清末民国初","陈肇兴","射乌城外恣遨游，列嶂如屏一望收。踏破松阴千万叠，数声钟磬落山头。崎岖路转夕阳斜，老衲相逢笑不哗。分得洗心泉一掬，半山亭子试新茶。灵源洞古白云封，旧迹依稀记毒龙。犹有泉声喝不去，岩前流出打疏钟。凤池西去水潺潺，百道飞泉拥巨观。我与山僧参一偈，下山容易上山难。"
"到鹿津观水陆清醮普度","清末民国初","陈肇兴","沸天锣鼓彻宵喧，一片灵风闪彩幡。十字街中人似织，不知何地著孤魂。万枝灯火绮筵开，金纸如山化作灰。此夕酆都应不夜，鬼门放过绿衣来。狼藉杯盘等布金，给孤园里肉成林。不知一例谈功德，可有慈乌反哺心。帷天幂地耀红绫，九曲屏风万炬灯。也似石王斗元宝，紫丝锦障一时增。谁把天花散道场，信男善女七宵忙。年年苦被西僧累，一个兰盆误十方。新开杀戒礼金仙，人自茹蔬鬼逐膻。一样无辜皆就死，鸡豚终古怨西天。招魂一纸达幽都，饿鬼如烟夹道呼。试问灵軿来鬼母，车中曾载活人无？剪綵裁绒竖几竿，大千会食集盂兰。世间不少穷饕餮，冷炙残羹未许餐。"
"消夏杂诗","清末民国初","陈肇兴","石壁丹崖小洞天，山如太古日如年。万竿竹下披襟坐，自有清风不用钱。避迹山中已半年，贪凉频到竹林边。绿阴满地日亭午，自枕松根企脚眠。雨过园林景色清，可人风日是新晴。无端唤醒南柯梦，万木阴中一鸟鸣。门前溪水绿漫漫，小坐垂纶意自宽。静极不知鱼上饵，一双蝴蝶立渔竿。排闼山光四望青，登临只隔一渔汀。偶携鸦嘴锄云去，斸得千年老茯苓。匝月幽居不出门，旧时山径长苔痕。一瓯苦茗三升酒，消受文人日又昏。枫林日暮晚风凉，散步谁知抱恨长。人自趋炎吾耐冷，两般气味各分尝。地僻无人问索居，清风入户替翻书。纸窗竹屋乌皮几，手写唐诗一月馀。山田青绿水田黄，看惯人家刈稻忙。乌雀也知禾黍熟，欢呼飞下野人场。烽火兼旬信息沉，故园回首棘森森。几回欲觅来人问，相对无言泪满襟。曾见黄巾此地过，连天鼙鼓达岩阿。儿童未解逢离乱，强折生梢学舞戈。平畴来往笠团团，一片骄阳汗不乾。漫道裸裎能浼我，野人原不著衣冠。为怜高洁绝尘氛，爱汝蝉声树里闻。笑杀于陵陈仲子，不能如蚓又输君。苍藤碧树绿交加，乳燕双飞日影斜。一阵晚风香不断，槟榔破孕欲开花。"
"怀人诗七首 林锡三太史","清末民国初","陈肇兴","海外天留见面缘，两家儿女话缠绵；谁知识得荆州后，烽火惊心又一年。文字风流老郑虔，一官爱客苦无毡；诸生散后烽烟起，不识何人肯赠钱！记从福地买归舟，刻烛催诗夜未休；一片冰壶清见底，何人得比韦苏州！谁驱市井作乡兵，饮血医疮更守城；横海他年论竹帛，合将七宝祀书生。裘带翩翩脱俗情，张郎才调本天成；双瞳剪水身如玉，风度依稀似九龄。倚马才高卢照邻，弓弯六石笔千钧；阴符一卷埋头读，何可今朝无此人！咫尺关山道路分，相思几度赋停云；伤心耆旧凋零后，海外论诗独有君。"
"上元夜看烟火有感","清末民国初","陈肇兴","频年奔走盗纵横，忽听优歌眼渐明；忘是乱离忘是客，随人踏月到三更。放来烟火十三层，彻夜喧阗斗綵灯；牵著老夫垂一泪，故园□炮正飞腾。"
"感事","清末民国初","陈肇兴","请援何人涉险来，黄云四塞道途开。将军养重如胡贾，辜负包胥哭几回。昆明劫起血成河，猿鹤沙虫委逝波。死是众人功一将，战场从古不平多。"
"乱后初归里中","清末民国初","陈肇兴","一别山城已两年，初归犹自怯烽烟。荆榛塞遍来时路，几度停舆不敢前。平芜一望绿连天，白骨槎枒尚满田。莫道近乡情更怯，来人相对也潸然。沧桑回首总伤情，旧日楼台一望平。僮仆不知陵谷变，向人犹问定军城。定军山下草萋萋，几处颓垣卧蒺藜。乡里到来偏不识，却教舆子问东西。败垣围井长黄花，日落寒烟绕郭斜。莫问旧时王谢宅，寻常百姓已无家。"
"磺溪三高士诗 诗人洪寿春","清末民国初","陈肇兴","磺溪有诗客，隐居于市阛。甘心执贱役，不肯事长官。吟诗祗自适，不予俗人看。当年杨伯起，一顾空冀闲。下士得知己，列肆为名山。读书识忠孝，万卷胸中蟠。采花酿成蜜，百代供一餐。我昔幸得之，琅琅诵百环。誓将付剞劂，用以表微寒。孰料霓裳曲，不许传人间。神龙破壁飞，万古去不还。至今思片羽，激烈摧心肝。海外数画笔，蔡君推第一。如何断三餐，不受千金值。睥睨视公卿，风尘谢物色。自非逢高人，不肯留真迹。传闻大风雨，山林昼昏黑；只身走荒崖，性命了不惜。乃知画入神，妙不关笔墨。大造具化工，眼前取自得。丘壑罗心胸，云水荡魂魄。半颠半迂间，此意谁能测！先生无名字，不知何许人。折苇渡沧海，信脚行阳春。当时富民侯，延座列上宾。筑堤兴水利，指授如有神。功成不受赏，长揖辞金银。问名嗒然笑，再问言津津。天地我父母，埏垓我乡邻。不夷又不惠，能屈亦能伸。五柳非吾徒，角里非吾身。孤山梅花婿，乃我有服亲。"
"在捒连日淫潦，欲归不得，忽逢晴霁，喜而有作","清末民国初","陈肇兴","风定树还号，雨霁云犹湿。朝阳有畏心，徘徊上原隰。水鸟带波飞，啄禽晒衣立。叉鱼渔荷蓑，割稻农戴笠。日暮各还家，蛙在水中泣。欹枕一以听，阁阁鸣何急。纤月细于钩，流光剧可挹。飞萤不避人，夜静穿窗入。朝曦红上檐，瓦雀双双喜。咿嘤语窗前，似唤幽人起。孤客正思家，对此欣不已。仰视浮云飞，馀霞散成绮。路逢相识人，为问前溪水。一苇如可航，余亦将归里。"
"前从军行，仿杜前出塞体九首","清末民国初","陈肇兴","男儿重横行，亡命作山贼。驱之军旅间，一举还两得。既可安乡闾，兼以报君国。慷慨赴军门，风云为生色。丈夫志四方，何况无妻子。平旦见军书，薄暮辞乡里。性命托旗枪，前行办一死。白浪高于山，吞声渡海水。八尺生番布，裁为战士衣。鸟枪白如练，能击飞鸟飞。出门别亲故，有泪不肯挥。英雄期马革，何用室家为？朝上沙合船，暮赴九龙山。半夜戈相拨，军行积雪间。□炮一声响，彼军胆皆寒。斩杀万馀级，士卒未朝餐。生长不霜天，目未睹冰雪。夜来六出花，手足为皴裂。万{幕，代艹}寂无声，刁斗寒不咽。明朝饮马窟，层冰凝积血。吮血健精神，吞心养胆气。生不读兵书，用奇出人意。潜伏草莽间，杀人等游戏。一粒铅如星，中有万夫泪。军中有犒赏，金帛邱山高。呼卢争一掷，百万如秋毫。行装典鬻尽，只手归蓬蒿。乃知轻性命，原不重钱刀。大贼作主将，小贼为偏裨。杀人如草菅，野战谁能支？抚驭一失所，化为狐与狸。哀哉绿林辈，可用还可疑。跃马延平津，剑气射牛斗。双龙去不还，战骨已成朽。世乱功名轻，封侯到屠狗。荣耀归里闾，英雄耻为偶。"
"后从军行，仿杜后出塞体五首","清末民国初","陈肇兴","封侯无相骨，际会须风云。君看牧羊儿，一胜拜将军。粤西有巨盗，十载烟尘昏。蔓延及浙水，召募急如焚。投辕授旗甲，万马如蜂屯。男儿身许国，生死安足论。努力事戎行，及时当树勋。岂无绿营兵，羸弱不堪用。不教驱而战，毋乃邹鲁鬨。诛求到县官，刍茭罄所供。出门如虎狼，百里为骚动。未立尺寸功，已觉威权重。他日封侯归，闾里谁敢从？朝渡沧溟去，暮出仙霞关。凉月照大野，白骨高于山。敌兵三十万，合围成一团。羽书如流星，请援来百蛮。士卒饲豺虎，将帅徐要官。坚壁但自守，何敢望生还！不见关山苦，安知征戍愁！他乡异水土，服食多不侔。野宿畏卑湿，露眠出风飕。十夫九病疫，何以负戈矛？贼来忽忘疾，抱创争出头。军中无药饵，饮血病已瘳。昔赴常山县，今往衢州城。昔日三千卒，今日万人行。从军日以众，租税日以增。卖犊买刀剑，田园去不耕。一曲浪死歌，最易摇民情。寄语长官者，防患须未萌。"
"杂诗","清末民国初","陈肇兴","古来无英雄，成名半天幸。唯有诸葛公，事业隆中定。抵掌话三分，乾坤若悬镜。后来所设施，一一操券胜。问其所以然，淡泊兼宁静。二语足千古，微言阐孔、孟。姚江误良知，勋业亦相称。如何后生辈，开口肆讥评。攻诘到阴私，立心毋乃佞。我欲扫蜉蝣，万古嚣尘净。大雅久不作，哇声谁放郑？汉儒专标榜，宋儒尚攻击。此论一以开，前贤何所适？曹寺分水火，朝堂生荆棘。既树君子仇，仍寻古人隙。六经如埃尘，毫芒严缕析。卮言日夕驰，卷轴邱山积。咄咄西河叟，独与紫阳敌。"
"三月十六日，奉宪命往南北投联庄遇乱，避居牛牯岭，即事述怀","清末民国初","陈肇兴","仓皇辞长官，低徊别妻子。岂不怀艰虞，生平感知己。弦高犒秦师，荆轲度易水；缅彼市井儿，树立乃如此。矧我七尺躯，家国交相倚。乘兹鼎沸时，抽薪犹及止。峨峨茭荖山，北望暮云紫。仰视黄鹄飞，一举翔千里。加鞭策驽骀，我行殊未已。薄暮投山庄，杯酒互相庆。父老三五人，问名半同姓。艰难出简书，慷慨论王命。愧非守土官，栖栖毋乃佞。一炊而百扬，众寡常不胜。夜来闻笳声，烽火四山应。抬头望乡关，旌旗蔽岩磴。流涕寂无言，俯首看刀柄。刀柄铁环环，摩挲日三百。携将沧海去，邂逅孙宾石。旷野夕悲风，阴云悽以黑。慷慨发高歌，白云为之匿。采薇供夕餐，拾橡充朝食。悽怆杜陵叟，流离辽海客。家乡在何处，远望泪沾臆。午山一回首，百里尘茫茫。有客从北来，相逢歧路傍。牵裾引之近，急问弟与娘。客言贼如毛，揭竿万万行。红旗蔽白日，刀戟相低昂。前头载妇女，后头括金珰。杀人但闻声，乌能审其详。三问不吾对，涕泗沾衣裳。"
"咏怀","清末民国初","陈肇兴","空谷有幽兰，岁久生荆杞。春风时一花，绿叶何靡靡。抱此王者香，掩没榛?里。采佩虽无人，芬芳常在己。遥睇茳与蓠，葳蕤被江沚。九畹长莓苔，怅望隔秋水。寒色上枯桐，凉飔吹古柳。仰视浮云飞，白衣变苍狗。感此百虑并，思君行役久。披榛采芳兰，榛多刺伤手。不惜妾手伤，但念君情厚。千里一寄赠，誓永不相负。精卫填沧海，衔石不辞劳；杜鹃思故国，啼血长自号。古来奇杰士，志气与天高。仲连耻帝秦，正平辱骂曹。片语夺狂魄，万古称人豪。生非重泰山，死非轻鸿毛。叹息此风靡，涕泣沾衣袍。壮士鄙雕虫，千金买一剑。骑马出国门，凛凛吐光燄。斩蛟恶水溪，剸虎清风店。恩怨身未酬，风尘人已厌。登高望中原，生灵正昏垫。中夜一投袂，雷霆起帷幨。鸡鸣非恶声，去去勿回念。举世尚散诞，陶公独任真。茫茫千载后，为我指迷津。置身羲皇上，抗志怀、葛民。偶逢天地醉，饮酒以全身。竭力勤农亩，馀事作诗人。松菊三径秀，榆柳一家春。即此是桃源，何处寻避秦。"
"杂诗","清末民国初","陈肇兴","乱世无宗族，敢死即为雄。我看楚昭屈，子弟盛江东。结发从项羽，八千归沙虫；诸田称崛强，亦受楚人封。唯有鲁二生，大义高苍穹；既不拜隆隼，亦不识重瞳。高飞避世网，天际翔冥鸿。冥鸿游八荒，回翔俯寥廓；下视大嘴乌，飞鸣一何恶。夺我树下巢，白昼喙雏鹊；盘回未忍飞，欲救嗟力薄。山梁多杀机，磐达少良木；岂不图南行，所恨羽毛弱。且辞篱下鴳，远伴云中鹤；置身冥漠间，矰缴何所著。回首谢老鸦，慎勿恣贪攫；与为百鸷鸟，何如一秋鹗！秋鹗翔千仞，不肯随众鸟；杰士贵独立，落落出人表。与其失之随，毋宁蹈其矫；龙、比伏斧刀，夷、齐甘饿?。万古立人极，只以一矫了；才非矫不生，节非矫不成。管宁渡辽海，以矫全其清；虞集卧东山，以矫全其名。"
